protocol,profile,payload,target_pps,repeat_index,duration_ms,actual_req_s,scheduled_requests,sent_requests,completed_requests,successes,errors,mean_ms,p95_ms,p99_ms,process_cpu_percent,process_mib,maxrss_mib
h2,clean,1k,1000,1,9999.855,1000.0,10000,10000,10000,10000,0,0.071,0.119,0.153,11.49,7.29,44.34
h3,clean,1k,1000,1,9999.479,1000.1,10000,10000,10000,10000,0,0.058,0.099,0.121,8.57,13.74,44.34
h2,clean,1k,3000,1,10000.280,2999.9,30000,30000,30000,30000,0,0.152,0.249,0.415,23.62,12.64,44.34
h3,clean,1k,3000,1,9999.733,3000.1,30000,30000,30000,30000,0,0.124,0.199,0.274,20.46,24.59,44.34
h2,clean,1k,6000,1,9999.942,6000.0,60000,60000,60000,60000,0,0.179,0.304,0.697,37.58,17.62,44.34
h3,clean,1k,6000,1,10001.005,5999.4,60000,60000,60000,60000,0,0.079,0.131,0.178,21.60,47.26,47.26
h2,clean,1k,10000,1,10001.030,9999.0,100000,100000,100000,100000,0,0.185,0.331,0.420,52.03,32.31,47.33
h3,clean,1k,10000,1,10000.071,9999.9,100000,100000,100000,100000,0,0.100,0.173,0.232,31.67,50.09,50.09
